DAY,Srevenue,Price = (Srevenue/Squantity),Squantity,SMA(4),SMA(9),
636,615,153.75,264,168.25,165.625,405.9
637,153,153,87,159.75,139.875,133.11
638,307,153.5,90,156.5,138,138.15
639,461,153.6666666667,113,138.5,133.625,173.6433333333
640,307,153.5,86,94,131.125,132.01
641,615,153.75,112,100.25,130,172.2
642,461,153.6666666667,213,131,143.75,327.31
643,1077,153.8571428571,379,197.5,168,583.1185714286
644,461,153.6666666667,138,210.5,152.25,212.06
645,153,153,150,220,160.125,229.5
646,615,153.75,157,206,168.5,241.3875
647,923,153.8333333333,112,139.25,168.375,172.2933333333
648,615,153.75,105,131,170.75,161.4375
649,1231,153.875,234,152,186,360.0675
650,1231,153.875,345,199,202.5,530.86875
651,307,153.5,134,204.5,171.875,205.69
652,615,153.75,138,212.75,171.875,212.175
653,461,153.6666666667,114,182.75,167.375,175.18
654,923,153.8333333333,114,125,162,175.37
655,615,153.75,171,134.25,169.375,262.9125
656,1077,153.8571428571,217,154,183.375,333.87
657,461,153.6666666667,287,197.25,190,441.0233333333
658,307,153.5,114,197.25,161.125,174.99
659,153,153,118,184,159.125,180.54
660,153,153,115,158.5,156.25,175.95
661,153,153,118,116.25,156.75,180.54
662,619,103.1666666667,136,121.75,159.5,140.3066666667
663,1385,153.8888888889,190,139.75,161.875,292.3888888889
664,1077,153.8571428571,261,176.25,167.375,401.5671428571
665,153,153,110,174.25,145.25,168.3
665,307,153.5,107,167,144.375,164.245
666,615,153.75,89,141.75,140.75,136.8375
667,461,153.6666666667,44,87.5,131.875,67.6133333333
668,307,153.5,99,84.75,129.5,151.965
669,923,153.8333333333,171,100.75,133.875,263.055
670,923,153.8333333333,245,139.75,140.75,376.8916666667
671,-153,153,110,156.25,121.875,168.3
672,153,153,91,154.25,119.5,139.23
673,153,153,121,141.75,121.25,185.13
674,615,153.75,123,111.25,125.5,189.1125
675,769,153.8,109,111,133.625,167.642
676,2309,153.9333333333,198,137.75,146,304.788
677,1847,153.9166666667,284,178.5,160.125,437.1233333333
678,615,153.75,109,175,143.125,167.5875
679,615,153.75,101,173,142,155.2875
680,153,153,120,153.5,145.625,183.6
681,461,153.6666666667,148,119.5,149,227.4266666667
682,153,153,151,130,152.5,231.03
683,2001,153.9230769231,359,194.5,183.75,552.5838461538
684,615,153.75,384,260.5,207,590.4
685,923,153.8333333333,145,259.75,189.625,223.0583333333
686,615,153.75,111,249.75,189.875,170.6625
687,307,153.5,133,193.25,193.875,204.155
688,307,153.5,141,132.5,196.5,216.435
689,307,153.5,131,129,194.375,201.085
690,1385,153.8888888889,249,163.5,206.625,383.1833333333
691,923,153.8333333333,298,204.75,199,458.4233333333
692,615,153.75,104,195.5,164,159.9
693,153,153,127,194.5,161.75,194.31
694,153,153,102,157.75,160.625,156.06
695,769,153.8,99,108,156.375,152.262
696,307,153.5,109,109.25,152.375,167.315
697,615,153.75,175,121.25,157.875,269.0625
698,923,153.8333333333,289,168,162.875,444.5783333333
699,615,153.75,114,171.75,139.875,175.275
700,307,153.5,116,173.5,141.375,178.06
701,153,153,113,158,139.625,172.89
702,769,153.8,134,119.25,143.625,206.092
703,307,153.5,115,119.5,145.625,176.525
704,0,0,221,145.75,159.625,0
705,461,153.6666666667,323,198.25,178.125,496.3433333333
706,153,153,89,187,153.125,136.17
707,769,153.8,97,182.5,151,149.186
708,769,153.8,122,157.75,151.75,187.636
709,0,0,137,111.25,154.75,0
710,1077,153.8571428571,151,126.75,156.875,232.3242857143
711,1847,153.9166666667,292,175.5,179,449.4366666667
712,769,153.8,358,234.5,196.125,550.604
713,923,153.8333333333,159,240,175.625,244.595
714,769,153.8,130,234.75,180.75,199.94
715,461,153.6666666667,113,190,182.75,173.6433333333
716,1077,153.8571428571,135,134.25,184.375,207.7071428571
717,461,153.6666666667,161,134.75,187.375,247.4033333333
718,1077,153.8571428571,324,183.25,209,498.4971428571
719,769,153.8,441,265.25,227.625,678.258
720,307,153.5,330,314,224.125,506.55
721,1385,153.8888888889,206,325.25,230,317.0111111111
722,923,153.8333333333,157,283.5,233.375,241.5183333333
723,1231,153.875,204,224.25,244.75,313.905
724,1847,153.9166666667,234,200.25,257.125,360.165
725,1077,153.8571428571,223,204.5,264.875,343.1014285714
730,153,153,194,213.75,248.625,296.82
731,307,153.5,109,190,207.125,167.315
732,461,153.6666666667,99,156.25,178.25,152.13
733,307,153.5,87,122.25,163.375,133.545
734,1385,153.8888888889,97,98,155.875,149.2722222222
735,307,153.5,65,87,138.5,99.775
736,769,153.8,101,87.5,121.875,155.338
737,1539,153.9,172,108.75,115.5,264.708
738,307,153.5,61,99.75,98.875,93.635
739,615,153.75,61,98.75,92.875,93.7875
740,153,153,95,97.25,92.375,145.35
741,923,153.8333333333,100,79.25,94,153.8333333333
742,461,153.6666666667,72,82,90.875,110.64
743,1077,153.8571428571,148,103.75,101.25,227.7085714286
744,0,0,207,131.75,114.5,0
745,461,153.6666666667,80,126.75,103,122.9333333333
746,615,153.75,84,129.75,105.875,129.15
747,615,153.75,101,118,110.875,155.2875
748,461,153.6666666667,143,102,116.875,219.7433333333
749,615,153.75,112,110,118.375,172.2
750,1385,153.8888888889,204,140,134.875,313.9333333333
751,1385,153.8888888889,261,180,149,401.65
752,153,153,128,176.25,139.125,195.84
753,153,153,119,178,144,182.07
754,461,153.6666666667,133,160.25,150.125,204.3766666667
755,461,153.6666666667,106,121.5,150.75,162.8866666667
756,1077,153.8571428571,128,121.5,148.875,196.9371428571
757,1385,153.8888888889,225,148,163,346.25
758,1539,153.9,281,185,172.625,432.459
759,153,153,114,187,154.25,174.42
760,0,0,90,177.5,149.5,0
